Iteration,Matrix Size (M),Matrix Size (N),Matrix Size (K),Version,Execution Time (ms),Performance (GFLOP/s)
1,256,256,256,CPU,1.60371,20.9229
1,256,256,256,GPU,0.0032,10485.8
2,512,512,512,CPU,7.23457,37.1046
2,512,512,512,GPU,0.003248,82646.4
3,768,768,768,CPU,20.1715,44.9134
3,768,768,768,GPU,0.0031904,283967
4,1024,1024,1024,CPU,53.216,40.3541
4,1024,1024,1024,GPU,0.0032448,661823
5,1280,1280,1280,CPU,96.6248,43.4082
5,1280,1280,1280,GPU,0.0032288,1.29903e+06
6,1536,1536,1536,CPU,161.606,44.8484
6,1536,1536,1536,GPU,0.0033856,2.14076e+06
7,1792,1792,1792,CPU,263.06,43.7511
7,1792,1792,1792,GPU,0.0033504,3.43516e+06
8,2048,2048,2048,CPU,408.27,42.0797
8,2048,2048,2048,GPU,0.00336,5.11306e+06
9,2304,2304,2304,CPU,543.951,44.9695
9,2304,2304,2304,GPU,0.003376,7.24561e+06
10,2560,2560,2560,CPU,778.176,43.1193
10,2560,2560,2560,GPU,0.0033728,9.94854e+06
11,2816,2816,2816,CPU,1008.27,44.2948
11,2816,2816,2816,GPU,0.0035232,1.26762e+07
12,3072,3072,3072,CPU,1287.31,45.0412
12,3072,3072,3072,GPU,0.0034048,1.70295e+07
13,3328,3328,3328,CPU,1654.31,44.5618
13,3328,3328,3328,GPU,0.0033792,2.18155e+07
14,3584,3584,3584,CPU,2086.86,44.1206
14,3584,3584,3584,GPU,0.003408,2.70168e+07
15,3840,3840,3840,CPU,2498.67,45.3226
15,3840,3840,3840,GPU,0.003392,3.33863e+07
