M,N,K,AverageTimeCPU(ms),AverageTimeGPU(ms),FLOPs,PerformanceCPU(GFLOP/s),PerformanceGPU(GFLOP/s),PerformanceProportion(time/MNK)
1024,1024,1024,56.3002,0.200595,2.14748e+09,38.1434,10705.6,5.24337e-08
1124,1124,1124,64.5292,0.231088,2.84007e+09,44.0121,12290,6.00975e-08
1224,1224,1224,80.7455,0.292966,3.66753e+09,45.4209,12518.6,7.52001e-08
1324,1324,1324,106.292,0.339837,4.64188e+09,43.6712,13659.1,9.89918e-08
1424,1424,1424,131.103,0.397494,5.77511e+09,44.0501,14528.8,1.22099e-07
1524,1524,1524,157.5,0.467571,7.07921e+09,44.9473,15140.4,1.46683e-07
1624,1624,1624,192.288,0.578877,8.5662e+09,44.5487,14798,1.79083e-07
1724,1724,1724,230.531,0.65705,1.02481e+10,44.4541,15597.1,2.14699e-07
1824,1824,1824,268.672,0.785315,1.21368e+10,45.1734,15454.7,2.5022e-07
1924,1924,1924,320.107,0.920877,1.42444e+10,44.499,15468.3,2.98122e-07
