M,N,K,tileM,tileN,BatchCount,TimeGPU(ms),PerformanceGPU(GFLOP/s)
1024,1024,1024,32,32,1024,0.321126,6687.35
1024,1024,1024,32,32,1024,0.320102,6708.74
1024,1024,1024,32,32,1024,0.321024,6689.48
1024,1024,1024,32,64,512,0.254976,8422.3
1024,1024,1024,32,64,512,0.25303,8487.06
1024,1024,1024,32,64,512,0.254976,8422.3
1024,1024,1024,32,128,256,0.221082,9713.54
1024,1024,1024,32,128,256,0.221798,9682.14
1024,1024,1024,32,128,256,0.221184,9709.04
1024,1024,1024,64,32,512,0.247501,8676.67
1024,1024,1024,64,32,512,0.247091,8691.06
1024,1024,1024,64,32,512,0.246784,8701.88
1024,1024,1024,64,64,256,0.213709,10048.6
1024,1024,1024,64,64,256,0.21463,10005.5
1024,1024,1024,64,64,256,0.213402,10063.1
1024,1024,1024,64,128,128,0.196813,10911.3
1024,1024,1024,64,128,128,0.19712,10894.3
1024,1024,1024,64,128,128,0.196813,10911.3
1024,1024,1024,128,32,256,0.213504,10058.3
1024,1024,1024,128,32,256,0.213914,10039
1024,1024,1024,128,32,256,0.214118,10029.4
1024,1024,1024,128,64,128,0.197018,10900
1024,1024,1024,128,64,128,0.197018,10900
1024,1024,1024,128,64,128,0.197222,10888.6
1024,1024,1024,128,128,64,0.18985,11311.5
1024,1024,1024,128,128,64,0.187904,11428.6
1024,1024,1024,128,128,64,0.187904,11428.6
