M,N,K,tileM,tileN,TimeGPU(ms),PerformanceGPU(GFLOP/s)
1024,1024,1024,32,32,0.343654,6248.96
1024,1024,1024,32,32,0.344064,6241.52
1024,1024,1024,32,32,0.34263,6267.64
1024,1024,1024,32,64,0.267571,8025.84
1024,1024,1024,32,64,0.266957,8044.31
1024,1024,1024,32,64,0.266957,8044.31
1024,1024,1024,32,128,0.226509,9480.79
1024,1024,1024,32,128,0.22825,9408.49
1024,1024,1024,32,128,0.226406,9485.08
1024,1024,1024,64,32,0.259584,8272.79
1024,1024,1024,64,32,0.259994,8259.76
1024,1024,1024,64,32,0.259379,8279.32
1024,1024,1024,64,64,0.22057,9736.08
1024,1024,1024,64,64,0.220774,9727.05
1024,1024,1024,64,64,0.219955,9763.28
1024,1024,1024,64,128,0.200602,10705.2
1024,1024,1024,64,128,0.19968,10754.6
1024,1024,1024,64,128,0.199987,10738.1
1024,1024,1024,128,32,0.219546,9781.49
1024,1024,1024,128,32,0.219443,9786.06
1024,1024,1024,128,32,0.219955,9763.28
1024,1024,1024,128,64,0.199987,10738.1
1024,1024,1024,128,64,0.199782,10749.1
1024,1024,1024,128,64,0.199987,10738.1
1024,1024,1024,128,128,0.189952,11305.4
1024,1024,1024,128,128,0.190464,11275
1024,1024,1024,128,128,0.189645,11323.7
